,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,
Alcohol Related Offenses,6124,6250,6873,7313,6017,6486,5707,5546,4939,4977,4001,4126,,,,,,,
Arson,911,883,881,803,673,490,467,464,404,410,477,536,,,,,,,
Assault,22775,22476,23032,22128,20342,20901,18349,19680,19418,20509,20990,22234,,,,,,,
Burglaries,16400,16126,17097,16582,14817,14646,14492,14964,14590,12826,13220,13270,,,,,,,
Homicide,345,305,253,232,200,168,156,160,155,134,178,193,,,,,,,
Narcotics,21639,22846,27746,29781,25255,27926,19416,19662,19846,19188,14644,16345,,,,,,,
Federal Offenses,885,645,688,751,691,602,534,699,654,619,493,676,,,,,,,
Felonies Misc,4993,5002,5034,4861,4583,4465,3838,3834,3651,3763,3369,3171,,,,,,,
Forcible Rape,3622,3645,3479,3658,3240,3596,3151,3053,2938,3107,2183,2662,,,,,,,
Gambling,24,26,30,36,8,32,19,30,36,23,15,27,,,,,,,
Grand Theft Auto,19652,17896,16806,15630,12600,11790,11166,11319,10981,10224,12221,12885,,,,,,,
Mentally Ill,1577,1690,2017,2369,2056,2604,2449,2898,3276,3571,3754,3770,,,,,,,
Robbery,41471,40830,43541,41463,37849,36959,36257,38307,36921,35689,37720,40539,,,,,,,
Suicide and Attempt,791,847,868,917,892,717,684,750,800,1163,1041,1025,,,,,,,
Vagrancy,607,688,641,937,1076,958,1085,870,511,537,429,384,,,,,,,
Vandalism,17127,18341,18843,17082,14723,13198,11433,11559,10846,10846,11686,12597,,,,,,,
Vehicle and Boating Laws,29900,32885,36536,39660,35171,32415,26889,23350,22313,20034,21875,21693,,,,,,,
Weapon's Laws,4316,4392,4603,4438,3829,3756,3508,3391,3273,3115,3380,3685,,,,,,,
AllTotal,193159,195773,208968,208641,184022,181709,159600,160536,155552,150735,151676,159818,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Alcohol Related Offenses,Arson,Assault,Burglaries,Homicide,Narcotics,Federal Offenses,Felonies Misc,Forcible Rape,Gambling,Grand Theft Auto,Mentally Ill,Robbery,Suicide and Attempt,Vagrancy,Vandalism,Vehicle and Boating Laws,Weapon's Laws,AllTotal
2005,6124,911,22775,16400,345,21639,885,4993,3622,24,19652,1577,41471,791,607,17127,29900,4316,193159
2006,6250,883,22476,16126,305,22846,645,5002,3645,26,17896,1690,40830,847,688,18341,32885,4392,195773
2007,6873,881,23032,17097,253,27746,688,5034,3479,30,16806,2017,43541,868,641,18843,36536,4603,208968
2008,7313,803,22128,16582,232,29781,751,4861,3658,36,15630,2369,41463,917,937,17082,39660,4438,208641
2009,6017,673,20342,14817,200,25255,691,4583,3240,8,12600,2056,37849,892,1076,14723,35171,3829,184022
2010,6486,490,20901,14646,168,27926,602,4465,3596,32,11790,2604,36959,717,958,13198,32415,3756,181709
2011,5707,467,18349,14492,156,19416,534,3838,3151,19,11166,2449,36257,684,1085,11433,26889,3508,159600
2012,5546,464,19680,14964,160,19662,699,3834,3053,30,11319,2898,38307,750,870,11559,23350,3391,160536
2013,4939,404,19418,14590,155,19846,654,3651,2938,36,10981,3276,36921,800,511,10846,22313,3273,155552
2014,4977,410,20509,12826,134,19188,619,3763,3107,23,10224,3571,35689,1163,537,10846,20034,3115,150735
2015,4001,477,20990,13220,178,14644,493,3369,2183,15,12221,3754,37720,1041,429,11686,21875,3380,151676
2016,4126,536,22234,13270,193,16345,676,3171,2662,27,12885,3770,40539,1025,384,12597,21693,3685,159818
